,time_period,roadmap_group,prediction
177,2021-08-01,C Series-21.5,2619.135799797406
178,2021-09-01,C Series-21.5,2050.7823406917114
179,2021-10-01,C Series-21.5,-64.88184235032078
180,2018-01-01,C Series-21.5-AMD,
181,2018-02-01,C Series-21.5-AMD,
182,2018-03-01,C Series-21.5-AMD,
183,2018-04-01,C Series-21.5-AMD,
184,2018-05-01,C Series-21.5-AMD,
185,2018-06-01,C Series-21.5-AMD,
186,2018-07-01,C Series-21.5-AMD,
187,2018-08-01,C Series-21.5-AMD,
188,2018-09-01,C Series-21.5-AMD,
189,2018-10-01,C Series-21.5-AMD,
190,2018-11-01,C Series-21.5-AMD,
191,2018-12-01,C Series-21.5-AMD,
192,2019-01-01,C Series-21.5-AMD,797.4141732874116
193,2019-02-01,C Series-21.5-AMD,948.6152958339792
194,2019-03-01,C Series-21.5-AMD,1145.6820452828608
195,2019-04-01,C Series-21.5-AMD,1026.4755115732569
196,2019-05-01,C Series-21.5-AMD,1563.2228596115824
197,2019-06-01,C Series-21.5-AMD,1154.0382538633633
198,2019-07-01,C Series-21.5-AMD,1257.8502497911013
199,2019-08-01,C Series-21.5-AMD,1243.6266307511776
200,2019-09-01,C Series-21.5-AMD,1271.3032131691784
201,2019-10-01,C Series-21.5-AMD,755.5703857852955
202,2019-11-01,C Series-21.5-AMD,673.319970052854
203,2019-12-01,C Series-21.5-AMD,503.39415664771394
204,2020-01-01,C Series-21.5-AMD,767.2175301068976
205,2020-02-01,C Series-21.5-AMD,677.5979344046583
206,2020-03-01,C Series-21.5-AMD,516.5157500911753
207,2020-04-01,C Series-21.5-AMD,953.597261992762
208,2020-05-01,C Series-21.5-AMD,743.1732723879519
209,2020-06-01,C Series-21.5-AMD,666.48209507494
210,2020-07-01,C Series-21.5-AMD,569.4296890676505
211,2020-08-01,C Series-21.5-AMD,646.6278514570014
212,2020-09-01,C Series-21.5-AMD,560.7640833469187
213,2020-10-01,C Series-21.5-AMD,807.018791236912
214,2020-11-01,C Series-21.5-AMD,749.2593049113526
215,2020-12-01,C Series-21.5-AMD,1202.5264368260573
216,2021-01-01,C Series-21.5-AMD,1414.012312063728
217,2021-02-01,C Series-21.5-AMD,1194.84785319969
218,2021-03-01,C Series-21.5-AMD,1107.4133261300067
219,2021-04-01,C Series-21.5-AMD,1124.5733752323197
220,2021-05-01,C Series-21.5-AMD,945.156041931101
221,2021-06-01,C Series-21.5-AMD,641.6693970606582
222,2021-07-01,C Series-21.5-AMD,540.3306390734783
223,2021-08-01,C Series-21.5-AMD,86.61618272902481
224,2021-09-01,C Series-21.5-AMD,-74.89100792440712
225,2021-10-01,C Series-21.5-AMD,-125.37944964568331
226,2017-03-01,C Series-21.5-Mainstream,
227,2017-04-01,C Series-21.5-Mainstream,
228,2017-05-01,C Series-21.5-Mainstream,
229,2017-06-01,C Series-21.5-Mainstream,
230,2017-07-01,C Series-21.5-Mainstream,
231,2017-08-01,C Series-21.5-Mainstream,
232,2017-09-01,C Series-21.5-Mainstream,
233,2017-10-01,C Series-21.5-Mainstream,
234,2017-11-01,C Series-21.5-Mainstream,
235,2017-12-01,C Series-21.5-Mainstream,
236,2018-01-01,C Series-21.5-Mainstream,
237,2018-02-01,C Series-21.5-Mainstream,
238,2018-03-01,C Series-21.5-Mainstream,5702.385495816568
239,2018-04-01,C Series-21.5-Mainstream,6334.829252517964
240,2018-05-01,C Series-21.5-Mainstream,6077.0135067827505
241,2018-06-01,C Series-21.5-Mainstream,2846.523116437316
242,2018-07-01,C Series-21.5-Mainstream,4037.1919476355165
243,2018-08-01,C Series-21.5-Mainstream,2753.396881277138
244,2018-09-01,C Series-21.5-Mainstream,3191.0391556742543
245,2018-10-01,C Series-21.5-Mainstream,5127.820371880303
246,2018-11-01,C Series-21.5-Mainstream,2491.613003606349
247,2018-12-01,C Series-21.5-Mainstream,3432.460143752275
248,2019-01-01,C Series-21.5-Mainstream,2776.328080639426
249,2019-02-01,C Series-21.5-Mainstream,2574.64858602311
250,2019-03-01,C Series-21.5-Mainstream,3100.6379080178694
251,2019-04-01,C Series-21.5-Mainstream,1976.4375700893165
252,2019-05-01,C Series-21.5-Mainstream,1335.6660819410085
253,2019-06-01,C Series-21.5-Mainstream,2527.0758248404222
254,2019-07-01,C Series-21.5-Mainstream,2821.3138622277033
255,2019-08-01,C Series-21.5-Mainstream,3607.936478293584
256,2019-09-01,C Series-21.5-Mainstream,2499.5296654063795
257,2019-10-01,C Series-21.5-Mainstream,1787.2102716897696
258,2019-11-01,C Series-21.5-Mainstream,2686.1117563001035
259,2019-12-01,C Series-21.5-Mainstream,4681.712991132376
260,2020-01-01,C Series-21.5-Mainstream,2887.484254945644
261,2020-02-01,C Series-21.5-Mainstream,2472.3680875445098
262,2020-03-01,C Series-21.5-Mainstream,2939.342379522393
263,2020-04-01,C Series-21.5-Mainstream,2205.2867939741463
264,2020-05-01,C Series-21.5-Mainstream,2148.241916014908
265,2020-06-01,C Series-21.5-Mainstream,4817.500726908267
266,2020-07-01,C Series-21.5-Mainstream,4255.9475710480465
267,2020-08-01,C Series-21.5-Mainstream,5872.9608842805665
268,2020-09-01,C Series-21.5-Mainstream,8233.40028603503
269,2020-10-01,C Series-21.5-Mainstream,4081.5606953505117
270,2020-11-01,C Series-21.5-Mainstream,4881.755112917099
271,2020-12-01,C Series-21.5-Mainstream,6013.256519644859
272,2021-01-01,C Series-21.5-Mainstream,4796.22314352118
273,2021-02-01,C Series-21.5-Mainstream,4001.3276688096494
274,2021-03-01,C Series-21.5-Mainstream,4745.567055527376
275,2021-04-01,C Series-21.5-Mainstream,2735.490109990056
276,2021-05-01,C Series-21.5-Mainstream,2544.6950104499383
277,2021-06-01,C Series-21.5-Mainstream,1405.815312908851
278,2021-07-01,C Series-21.5-Mainstream,832.569305231956
279,2021-08-01,C Series-21.5-Mainstream,603.9529496287944
280,2021-09-01,C Series-21.5-Mainstream,5203.509579210209
281,2021-10-01,C Series-21.5-Mainstream,1265.7438132596442
282,2021-11-01,C Series-21.5-Mainstream,2538.23184624759
283,2017-10-01,C Series-23.8,
284,2017-11-01,C Series-23.8,
285,2017-12-01,C Series-23.8,
286,2018-01-01,C Series-23.8,
287,2018-02-01,C Series-23.8,
288,2018-03-01,C Series-23.8,
289,2018-04-01,C Series-23.8,
290,2018-05-01,C Series-23.8,
291,2018-06-01,C Series-23.8,
292,2018-07-01,C Series-23.8,
293,2018-08-01,C Series-23.8,
294,2018-09-01,C Series-23.8,
295,2018-10-01,C Series-23.8,224.90175831736633
296,2018-11-01,C Series-23.8,263.8451561817203
297,2018-12-01,C Series-23.8,674.4913249651345
298,2019-01-01,C Series-23.8,250.62104581966844
299,2019-02-01,C Series-23.8,573.6753091171149
300,2019-03-01,C Series-23.8,197.39562191329549
301,2019-04-01,C Series-23.8,476.5378667550778
302,2019-05-01,C Series-23.8,712.6788463013612
303,2019-06-01,C Series-23.8,250.78948325387023
304,2019-07-01,C Series-23.8,276.05246011228684
305,2019-08-01,C Series-23.8,211.20731046206055
306,2019-09-01,C Series-23.8,12.770967970690746
307,2019-10-01,C Series-23.8,267.77645259101155
308,2019-11-01,C Series-23.8,158.2981240010824
309,2019-12-01,C Series-23.8,381.5973978165381
310,2020-01-01,C Series-23.8,221.75425178443155
311,2020-02-01,C Series-23.8,259.03437766319314
312,2020-03-01,C Series-23.8,232.16025081308985
313,2020-04-01,C Series-23.8,396.8056232866012
314,2020-05-01,C Series-23.8,804.9639155626943
315,2020-06-01,C Series-23.8,659.2668298113307
316,2020-07-01,C Series-23.8,756.5454773504853
317,2020-08-01,C Series-23.8,902.3127680757383
318,2020-09-01,C Series-23.8,869.3948145885882
319,2020-10-01,C Series-23.8,680.4590837026017
320,2020-11-01,C Series-23.8,411.5750829641377
321,2020-12-01,C Series-23.8,387.17288692319664
322,2021-01-01,C Series-23.8,438.3654269801634
323,2021-02-01,C Series-23.8,188.54381812324476
324,2021-03-01,C Series-23.8,578.6496077867115
325,2021-04-01,C Series-23.8,354.3881511587365
326,2021-05-01,C Series-23.8,237.43769426079632
327,2021-06-01,C Series-23.8,34.323823901683916
