,time_period,roadmap_group,prediction,Horizon
240,2018-05-01,C Series-21.5-Mainstream,6076.441994934344,1
241,2018-06-01,C Series-21.5-Mainstream,2846.0001971409893,1
242,2018-07-01,C Series-21.5-Mainstream,4038.6524239400824,1
243,2018-08-01,C Series-21.5-Mainstream,2755.1938580073734,1
244,2018-09-01,C Series-21.5-Mainstream,3192.0877100350363,1
245,2018-10-01,C Series-21.5-Mainstream,5126.0688240359195,1
246,2018-11-01,C Series-21.5-Mainstream,2493.370056379816,1
247,2018-12-01,C Series-21.5-Mainstream,3430.027181090713,1
248,2019-01-01,C Series-21.5-Mainstream,2776.028141659996,1
249,2019-02-01,C Series-21.5-Mainstream,2574.698627515548,1
250,2019-03-01,C Series-21.5-Mainstream,3099.111964224744,1
251,2019-04-01,C Series-21.5-Mainstream,1976.5402735942803,1
252,2019-05-01,C Series-21.5-Mainstream,1335.6178052531836,1
253,2019-06-01,C Series-21.5-Mainstream,2526.82372638165,1
254,2019-07-01,C Series-21.5-Mainstream,2819.6410664583273,1
255,2019-08-01,C Series-21.5-Mainstream,3607.565616470125,1
256,2019-09-01,C Series-21.5-Mainstream,2499.5619457003777,1
257,2019-10-01,C Series-21.5-Mainstream,1788.6936536624387,1
258,2019-11-01,C Series-21.5-Mainstream,2685.1886855759562,1
259,2019-12-01,C Series-21.5-Mainstream,4680.907713506565,1
260,2020-01-01,C Series-21.5-Mainstream,2882.5274370136904,1
261,2020-02-01,C Series-21.5-Mainstream,2470.5902240006753,1
262,2020-03-01,C Series-21.5-Mainstream,2942.8810568888775,1
263,2020-04-01,C Series-21.5-Mainstream,2199.485223659207,1
264,2020-05-01,C Series-21.5-Mainstream,2144.3050225366524,1
265,2020-06-01,C Series-21.5-Mainstream,4811.907835693669,1
266,2020-07-01,C Series-21.5-Mainstream,4250.172880367802,1
267,2020-08-01,C Series-21.5-Mainstream,5860.607970785667,1
268,2020-09-01,C Series-21.5-Mainstream,8240.50259936359,1
269,2020-10-01,C Series-21.5-Mainstream,4076.3562169731654,1
270,2020-11-01,C Series-21.5-Mainstream,4891.660273585412,1
271,2020-12-01,C Series-21.5-Mainstream,6019.904016749262,1
272,2021-01-01,C Series-21.5-Mainstream,4804.303388988408,1
273,2021-02-01,C Series-21.5-Mainstream,4009.9569332786805,1
274,2021-03-01,C Series-21.5-Mainstream,4746.569922521084,1
275,2021-04-01,C Series-21.5-Mainstream,2733.1808289099695,1
276,2021-05-01,C Series-21.5-Mainstream,2551.503988615141,1
277,2021-06-01,C Series-21.5-Mainstream,1400.0697575138706,1
278,2021-07-01,C Series-21.5-Mainstream,831.7357419685208,1
279,2021-08-01,C Series-21.5-Mainstream,588.5002805082424,1
280,2021-09-01,C Series-21.5-Mainstream,5213.308501537314,1
281,2021-10-01,C Series-21.5-Mainstream,1269.6715134719216,1
282,2021-11-01,C Series-21.5-Mainstream,2561.8050712217832,1
283,2017-10-01,C Series-23.8,,1
284,2017-11-01,C Series-23.8,,1
285,2017-12-01,C Series-23.8,,1
286,2018-01-01,C Series-23.8,,1
287,2018-02-01,C Series-23.8,,1
288,2018-03-01,C Series-23.8,,1
